CUSTOMER_ID;CUSTOMER_FIRST_NAME;CUSTOMER_LAST_NAME;CUSTOMER_EMAIL;CUSTOMER_GENDER;CUSTOMER_BIRTH_DATE
65;Florian;KÃ¼hn;florian.kuehn@ibs-ol.de;m;1969-10-21 00:00:00
66;Eva;Pohl;eva.pohl@ibs-ol.de;w;1991-12-18 00:00:00
67;Christopher;Arnold;christopher.arnold@ibs-ol.de;m;1985-01-01 00:00:00
68;Katharina;Schwarz;katharina.schwarz@ibs-ol.de;w;1989-05-27 00:00:00
69;Ralf;Haas;ralf.haas@ibs-ol.de;m;1960-08-16 00:00:00
70;Jessica;Lorenz;jessica.lorenz@ibs-ol.de;w;2004-09-04 00:00:00
71;Robert;Winter;robert.winter@ibs-ol.de;m;1954-11-24 00:00:00
72;Sandra;Berg;sandra.berg@ibs-ol.de;w;1971-07-20 00:00:00
73;Markus;Seitz;markus.seitz@ibs-ol.de;m;1978-03-01 00:00:00
74;Tanja;GÃ¶tz;tanja.goetz@ibs-ol.de;w;1993-04-07 00:00:00
75;Dirk;Lang;dirk.lang@ibs-ol.de;m;1980-10-14 00:00:00
76;Antonia;Witt;antonia.witt@ibs-ol.de;w;1996-09-12 00:00:00
77;Rene;Schulze;rene.schulze@ibs-ol.de;m;1977-01-28 00:00:00
78;Ines;Huber;ines.huber@ibs-ol.de;w;1997-12-31 00:00:00
79;Thomas;Schmidt;thomas.schmidt@ibs-ol.de;m;1972-11-04 00:00:00
80;Kathrin;Voigt;kathrin.voigt@ibs-ol.de;w;1981-05-22 00:00:00
81;Michael;Hahn;michael.hahn@ibs-ol.de;m;1965-03-07 00:00:00
82;Sabine;Ludwig;sabine.ludwig@ibs-ol.de;w;1982-08-29 00:00:00
83;Sebastian;Friedrich;sebastian.friedrich@ibs-ol.de;m;1983-07-15 00:00:00
84;Julia;Neumann;julia.neumann@ibs-ol.de;w;1999-10-03 00:00:00
85;Timo;Stein;timo.stein@ibs-ol.de;m;1951-02-10 00:00:00
86;Rebecca;Hoffmann;rebecca.hoffmann@ibs-ol.de;w;1992-12-06 00:00:00
87;JÃ¼rgen;Scholz;juergen.scholz@ibs-ol.de;m;1966-01-29 00:00:00
88;Stefanie;Hartmann;stefanie.hartmann@ibs-ol.de;w;2001-02-14 00:00:00
89;Tobias;Meier;tobias.meier@ibs-ol.de;m;1958-03-31 00:00:00
90;Andrea;Schmidt;andrea.schmidt@ibs-ol.de;w;1986-07-25 00:00:00
91;Manuel;Jung;manuel.jung@ibs-ol.de;m;1970-09-06 00:00:00
92;Isabel;Hoffmann;isabel.hoffmann@ibs-ol.de;w;2002-11-30 00:00:00
93;Christian;Keller;christian.keller@ibs-ol.de;m;1950-06-11 00:00:00
94;Veronika;Weber;veronika.weber@ibs-ol.de;w;1991-04-19 00:00:00
95;Andreas;Zimmermann;andreas.zimmermann@ibs-ol.de;m;1964-01-25 00:00:00
96;Sarah;Becker;sarah.becker@ibs-ol.de;w;1983-09-21 00:00:00
97;Christopher;Roth;christopher.roth@ibs-ol.de;d;1973-12-13 00:00:00
98;Katja;Koch;katja.koch@ibs-ol.de;w;1994-08-09 00:00:00
99;Frank;Sauer;frank.sauer@ibs-ol.de;m;1962-02-04 00:00:00
100;Anna-Lena;Bach;annalena.bach@ibs-ol.de;w;2000-06-15 00:00:00
