EMPLOYEE_ID;SUPERVISOR_ID;PLACE_OF_SALE_ID;EMPLOYEE_FIRST_NAME;EMPLOYEE_LAST_NAME;EMPLOYEE_EMAIL;EMPLOYEE_GENDER;EMPLOYEE_BIRTH_DATE;EMPLOYEE_PHONE_NUMBER;SALARY_PER_MONTH;PROVISION_RATE;WORKING_HOURS_PER_WEEK;POSITION;DATE_OF_HIRE;BANK_NAME;BIC;IBAN
15;2;1;Laura;Krause;l.krause@ibs-ol.de;w;1993-08-09 00:00:00;+4944156789012;3000.0;1.5;35;Verkäuferin;2019-06-15 00:00:00;Commerzbank;COBADEFFXXX;DE67280400660045678901
16;3;1;Philipp;Schmitt;p.schmitt@ibs-ol.de;m;1985-04-16 00:00:00;+4944167890123;3200.0;1.0;38;Servicetechniker;2015-10-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE89280700240045678901
17;1;1;Katharina;Wolf;k.wolf@ibs-ol.de;w;1987-11-28 00:00:00;+4944178901234;3300.0;1.25;38;IT-Spezialistin;2016-05-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE12280501000056789012
18;2;1;Simon;Neumann;s.neumann@ibs-ol.de;m;1992-01-07 00:00:00;+4944189012345;3000.0;1.5;35;Verkäufer;2018-08-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE34280618220056789012
19;2;1;Eva;Schwarz;e.schwarz@ibs-ol.de;w;1990-03-21 00:00:00;+4944190123456;3100.0;1.5;38;Verkäuferin;2017-04-15 00:00:00;Commerzbank;COBADEFFXXX;DE56280400660056789012
20;3;1;Andreas;Zimmermann;a.zimmermann@ibs-ol.de;m;1986-09-13 00:00:00;+4944101234567;3200.0;1.0;38;Servicetechniker;2014-07-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE78280700240056789012
21;1;1;Melanie;Braun;m.braun@ibs-ol.de;w;1989-07-02 00:00:00;+4944112345678;3400.0;1.5;40;Marketing-Managerin;2016-11-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE90280501000067890123
22;2;1;Christian;Hartmann;c.hartmann@ibs-ol.de;m;1991-12-24 00:00:00;+4944123456789;3000.0;1.5;35;Verkäufer;2019-02-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE23280618220067890123
23;2;1;Stefanie;Lange;s.lange@ibs-ol.de;w;1988-05-11 00:00:00;+4944134567890;3100.0;1.5;38;Verkäuferin;2017-09-15 00:00:00;Commerzbank;COBADEFFXXX;DE45280400660067890123
24;3;1;Marcel;Werner;m.werner@ibs-ol.de;m;1984-10-29 00:00:00;+4944145678901;3300.0;1.0;40;Servicetechniker;2013-06-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE67280700240067890123
25;1;1;Carolin;Schmitz;c.schmitz@ibs-ol.de;w;1993-08-06 00:00:00;+4944156789012;3200.0;1.25;38;Personalsachbearbeiterin;2020-01-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE89280501000078901234
26;2;1;Florian;Krüger;f.krueger@ibs-ol.de;m;1987-02-17 00:00:00;+4944167890123;3100.0;1.5;38;Verkäufer;2016-04-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE12280618220078901234
27;2;1;Jessica;Hofmann;j.hofmann@ibs-ol.de;w;1990-06-30 00:00:00;+4944178901234;3000.0;1.5;35;Verkäuferin;2018-10-15 00:00:00;Commerzbank;COBADEFFXXX;DE34280400660078901234
28;3;1;Daniel;Schröder;d.schroeder@ibs-ol.de;m;1985-11-15 00:00:00;+4944189012345;3200.0;1.0;38;Servicetechniker;2015-03-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE56280700240078901234
29;1;1;Tanja;Huber;t.huber@ibs-ol.de;w;1992-04-04 00:00:00;+4944190123456;3300.0;1.5;38;Kundenbetreuerin;2019-07-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE78280501000089012345
30;1;1;Maximilian;Berger;m.berger@ibs-ol.de;m;1988-09-20 00:00:00;+4944101234567;3400.0;1.75;40;Qualitätsmanager;2016-12-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE90280618220089012345
